id,created_date,created_time,type,message,link
141108613290_10156913923788291,25/9/2018,9:41:02,link,วันก่อนมีเรื่องเด็กคนนึงแพ้ผลิตภัณฑ์จากนม แต่เพื่อนแกล้งเอาชีสไปโยนใส่จนแพ้รุนแรงและเสียชีวิตที่ รพ ในเวลาต่อมา รายล่าสุดแพ้โปรตีนในงาดำ กินขนมปังเข้าไป มีอาการแพ้รุนแรง จนเสียชีวิต คาดว่าในขนมปังมีส่วนผสมเป็นงาดำ เรื่องแบบนี้ซีเรียสมากนะ ในบ้านเราคนก็ยังไม่ค่อยรู้เรื่องแพ้อาหารกันเยอะ บางคนก็คิดว่าพวกนี้แม่มดัดจริต แล้วเอาอาหารที่เขาแพ้แอบยัดให้กิน บางคนก็บอกถ้าแพ้อาหารก็กินที่แพ้เยอะๆจะได้ชนะ WTF จนเคยเป็นดราม่ากันมาแล้วหลายรอบเลยว่ะ น่าเอาเรื่องนี้รวมถึงการปฐมพยาบาลบรรจุในหลักสูตรได้ละนะกรูว่า,https://www.bbc.com/news/uk-england-london-45617845?ns_source=facebook&ns_mchannel=social&ocid=socialflow_facebook&ns_campaign=bbcnews
141108613290_10156745614868291,22/7/2018,12:27:23,link,Red Skull Airline เตรียมเปิดเพจ V.2 ยังวะมึง,https://www.khaosod.co.th/special-stories/news_1364828
141108613290_10156972177243291,17/10/2018,18:45:44,link,เอาละวา,https://www.springnews.co.th/view/366736?sp
141108613290_10156741469088291,20/7/2018,23:53:08,link,แม่มิ้งให้สัมภาษณ์แล้วว่ะ รอดูฝั่งกัปตันมั่ง,https://www.thairath.co.th/content/1338701
141108613290_10156958390643291,12/10/2018,14:30:58,link,อันนี้กฏหมายยังไม่ผ่านร่างอะไรเลย อยู่ในขั้นคุยกัน น่าจะเป็นพวกทิ้งหมาแมว มันเอามาทิ้งแล้วโบ้ยมั่วซั่วมากกว่า พวกนี้น่ะ ยังไงแม่งก็ทิ้งหมาแมวอยู่ดี ไม่ว่าจะมีขึ้นทะเบียนรึไม่ แต่ถ้ามีขึ้นทะเบียนหมาแมวทั้งหมด อีกหน่อยจะไม่มีเหตุการณ์แบบนี้เกิดขึ้น เพราะถ้ามีใครเอาหมาแมวมาทิ้ง เราก็จะตามเช็คได้ว่าไอ้คนที่เอามาทิ้งคือใคร แล้วดำเนินคดีกับมันได้ เพราะการทิ้งหมาแมวเนี่ยมันก็คือการทารุณกรรมสัตวืตามกฏหมายเหมือนกัน,https://www.catdumb.com/cat-leaving-por-ror-bor-290/
141108613290_10157081962478291,1/12/2018,12:34:53,link,Thief dead by FryPan Winner Winer Chicken dinner.,https://www.khaosod.co.th/breaking-news/news_1897725
141108613290_10156973978368291,18/10/2018,13:46:53,link,เหี้ยยยย ตาบอดกันไปกี่รายแล้ววะ,http://www.amarintv.com/news-update/news-update-thai/news-13277/278351/
141108613290_10156787683638291,7/8/2018,20:54:26,link,มีคณบดีมาเนียนๆกับเด็กแบบนี้เราก็มั่นใจได้ว่าไม่มีว๊ากโหดแน่  ปล ใช้ได้เฉพาะมหาลัยที่มีคณบดีหน้าอ่อนกว่าวัยพอจะไปเนียนๆได้เท่านั้น,http://campus.sanook.com/1391417/
141108613290_10157033159063291,11/11/2018,13:00:55,link,.....ว้อทเดอะ   แต่ล่าสุดที่สอบถามมา เห็นว่าทาง TOA จะร่วมมือกับกรมศิลป์แก้ปัญหานี้เต็มที่ ปัญหาคือ คนที่เอาสีไปทาตามวัดต่างๆ คุณต้องหยุดได้แล้ว แล้วมาคุยกับกรมศิลป์ เพื่อหาทางบูรณะที่ถูกวิธีนะ,https://www.silpa-mag.com/club/news/article_22625?fbclid=IwAR2H9VBfbVrowr-sxpREKYtIiWUfYzc2aV5LpQ1OYGLdOeqqvqCEi2iyT3E
141108613290_10156975841063291,19/10/2018,7:37:47,link,; <> ; )))),https://www.sanook.com/news/7546854/
141108613290_10157113209253291,13/12/2018,20:07:15,link,กระทู้น่าสนใจสำหรับคนที่อาจโตไม่ทันช่วงก่อนที่เมืองไทยจะมีสามสิบบาทรักษาทู้กโรคคคคค,https://pantip.com/topic/36474848
